Bus ID,lat,lng,Zone,Sub Name,Bus Name,Area,BaseKV,PU Volt,Volt (kV),Angle (Deg),MW Load,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Zone Num,Bus Type,Mismatch MW,Mismatch Mvar,Mismatch MVA,Bus Area,Sub Area
111078,29.3563,-95.0852,7,SANTA_FE_3,SANTA_FE_3_1,Coast,138.0,1.00841,139.161,-23.03,486.5,117.6,,761,,,0,0,1,PQ,0.0,0,0.0,1,12
110449,29.4972,-95.1242,7,LEAGUE_CITY_1,LEAGUE_CITY_1_1,Coast,138.0,1.00844,139.164,-24.12,318.4,130.9,,301,,,0,0,1,PQ,0.0,0,0.0,1,12
110127,28.9119,-95.9883,7,BAY_CITY_3,BAY_CITY_3_2,Coast,138.0,1.02695,141.72,-5.37,222.5,81.8,,39,,,0,0,1,PQ,0.0,0,0.0,1,12
110484,28.9711,-95.3739,7,CLUTE_1,CLUTE_1_1,Coast,138.0,1.02194,141.02700000000002,-14.66,221.1,93.8,,330,,,0,0,1,PQ,0.0,0,0.0,1,12
220088,31.8382,-102.362,1,ODESSA_12,ODESSA_12_1,Far_West,138.0,1.02516,141.472,27.04,186.9,46.8,,3669,,,0,0,1,PQ,0.0,0,0.0,2,23
110404,29.781,-94.9402,7,BAYTOWN_7,BAYTOWN_7_1,Coast,138.0,1.00974,139.344,-22.73,185.8,111.5,,274,,,0,0,1,PQ,0.0,0,0.0,1,12
110944,29.5508,-95.7996,7,ROSENBERG_4,ROSENBERG_4_2,Coast,138.0,1.02017,140.784,-17.2,176.9,116.8,,682,,,0,0,1,PQ,0.0,0,0.0,1,12
110916,29.5737,-95.5396,7,MISSOURI_CITY_7,MISSOURI_CITY_7_1,Coast,138.0,0.99781,137.69799999999998,-21.12,176.9,122.1,,665,,,0,0,1,PQ,0.0,0,0.0,1,12
110340,29.4152,-95.2575,7,ALVIN_1,ALVIN_1_1,Coast,138.0,0.99653,137.52100000000002,-24.74,176.9,16.8,,225,,,0,0,1,PQ,0.0,0,0.0,1,12
130328,32.4058,-96.8474,5,WAXAHACHIE_5,WAXAHACHIE_5_2,North_Central,138.0,1.02332,141.219,-15.79,173.3,115.0,,1548,,,0,0,1,PQ,0.0,0,0.0,1,14
150342,32.6293,-97.2993,5,KENNEDALE_7,KENNEDALE_7_2,North_Central,138.0,1.02006,140.768,-16.47,168.1,33.6,,2105,,,0,0,1,PQ,0.0,0,0.0,1,16
110442,29.577,-95.0423,7,SEABROOK_1,SEABROOK_1_3,Coast,69.0,0.97094,66.995,-28.61,160.5,92.4,,297,,,0,0,1,PQ,0.0,0,0.0,1,12
